828656,Штуцер Fubag (180161 B) для соединения 8 мм с обжимным кольцом,109.0
153707,Лобзик электрический Makita 4326 450 Вт,4641.0
828649,Муфта Fubag (180122 B) для соединения 10 мм с обжимным кольцом,350.0
168278,"Бензопила Champion 241 2,45 л.с. 16"" шаг 3/8"" паз 1,3 мм 56 звеньев",9990.0
921134,Дрель-шуруповерт аккумуляторная безударная Интерскол ДА-10/12В (687.2.2.70) 12В 2х2Ач Li-Ion 2 АКБ иЗУ,5600.0
813816,"Краскопульт электрический Зубр КПЭ-750 750 Вт 0,8 л",5610.0
795196,"Перфоратор электрический Ресанта П-32-1000К (75/3/3) 1000 Вт 5,2 Дж SDS-plus",8490.0
668542,Шлифмашина эксцентриковая аккумуляторная КМ АТОМ (CES-181) 18В Li-Ion без АКБ и ЗУ,2520.0
663158,Лобзик аккумуляторный КМ АТОМ (СJS-181) 18В Li-Ion без АКБ и ЗУ,3200.0
102380,Дрель ударная Bosch GSB 13 RE (601217100) 600 Вт,4599.0
162143,Пылесос строительный электрический Metabo ASA 25 L PC (602014000) 1250 Вт 25 л,26990.0
162365,"Шуруповерт аккумуляторный ударный Makita TD110DZ 10,8В Li-Ion без АКБ и ЗУ",3885.0
759074,Краскораспылитель пневматический Patriot (830901010) LV 162В для компрессоров нижний бачок,1169.0
813801,Пила дисковая электрическая Зубр ПД-55 1300 Вт 165 мм,5540.0
967197,"Перфоратор электрический Patriot RH 280 (140301363) 900 Вт 4,3 Дж SDS-plus",6390.0
162151,Шлифмашина угловая электрическая Metabo W 1100-125 (603614010) 1100 Вт d125 мм,9029.0
612672,"Перфоратор аккумуляторный Makita DHR202RF 18 Вт 1,9 Дж 18В 3Ач Li-Ion SDS-plus",18719.0
691764,Гвоздезабивной пистолет пневматический Fubag SN4050 (100153),4820.0
104610,Лобзик электрический Интерскол МП-65/550Э (36.1.1.01) 550 Вт,3591.0
674535,Фрезер электрический Фиолент МФ4-1100Э (ИДФР298259003) 1100 Вт,5118.0
758395,Пистолет для герметика аккумуляторный КМ АТОМ (CGFS-181) 18В Li-Ion без АКБ и ЗУ,5000.0
654268,Шлифмашина угловая электрическая ЗУБР УШМ-125-800 М3 800 Вт d125 мм,2780.0
168281,"Пила дисковая аккумуляторная Makita HS301DWAE 10,8В 2х2Ач Li-Ion 85 мм",14448.0
983612,Шлифмашина угловая аккумуляторная Greenworks GD24AG (3200207UA) 24В Li-Ion d125 мм 1 АКБ и ЗУ,9790.0
881440,Шлифмашина угловая электрическая Фиолент МШУ13-9-125Э (ИДФР298135011-01) 1100 Вт d125 мм,4472.0
797841,Пылесос строительный электрический Karcher WD 6 P S V-30/6/22/T (YSY) *EU (1.628-360.0) 1300 Вт 30 л,24044.0
909321,"Дрель-шуруповерт аккумуляторная ударная Makita HP488DWE (HP488DWE) 18В 2х1,5Ач Li-Ion 2 АКБ иЗУ",11926.0
633391,Шлифмашина угловая аккумуляторная DeWalt DCG406N-XJ 18В Li-Ion d125 мм без АКБ и ЗУ,15590.0
671784,Пила сабельная электрическая ЗУБР ЗПС-1100 Э 1100 Вт,6980.0
925074,Пила сабельная аккумуляторная Зубр СПЛ-125 (СПЛ-125-21) 12В Li-Ion с АКБ и ЗУ,5240.0
153790,Гравер электрический Einhell TС-MG 135 E (4419169) 135 Вт 216 предметов,5660.0
636275,Шуруповерт безударный КМ SD-601 600 Вт,1990.0
793004,"Цепь Makita 531492646 (531492646) 12"" шаг 3/8"" паз 1,3 мм 46 звеньев",1309.0
506221,Масло Интерскол (2600010) 1 л для компрессоров,350.0
